"pref","year","suicide","unemp"
"福岡",2011,24.3,5.6
"佐賀",2011,20.4,4.2
"長崎",2011,22.7,4.6
"熊本",2011,23,4.7
"大分",2011,21.2,4.1
"宮崎",2011,27.7,4.4
"鹿児島",2011,24.3,4.8
"沖縄",2011,27.2,6.9
"北海道",2012,22.2,5.2
"青森",2012,24.3,5.3
"岩手",2012,25.3,3.9
"宮城",2012,18.9,4.8
"秋田",2012,27.6,4.4
"山形",2012,25.3,3.4
"福島",2012,21.9,4
"茨城",2012,21.1,3.9
"栃木",2012,22.8,3.7
"群馬",2012,23.4,3.4
"埼玉",2012,21.4,4.4
"千葉",2012,19.9,4.1
"東京",2012,19.9,4.5
"神奈川",2012,18.5,4.4
"新潟",2012,26.4,3.7
"富山",2012,22.2,3
"石川",2012,20.9,3.4
"福井",2012,20.2,2.6
"山梨",2012,22,3.4
"長野",2012,21.2,3.5
"岐阜",2012,20.9,3.4
"静岡",2012,20.4,3.3
"愛知",2012,18.3,3.7
"三重",2012,20.4,3.2
"滋賀",2012,20.2,4
"京都",2012,17.3,4.8
"大阪",2012,21.6,5.4
"兵庫",2012,20.7,4.7
"奈良",2012,17.7,4.3
"和歌山",2012,18.3,3.6
"鳥取",2012,20.9,3.7
"島根",2012,22.8,2.5
"岡山",2012,18.8,3.7
"広島",2012,20.6,3.6
"山口",2012,23.3,3.5
"徳島",2012,19,4.1
"香川",2012,17.5,3.4
"愛媛",2012,20.6,3.8
"高知",2012,25.9,3.8
"福岡",2012,22.2,5.2
"佐賀",2012,21,3.8
"長崎",2012,17.7,4.4
"熊本",2012,23.8,4.3
"大分",2012,22.2,4
"宮崎",2012,24.7,4.3
"鹿児島",2012,21.6,4.5
"沖縄",2012,20.3,6.8
"北海道",2013,21.2,4.6
"青森",2013,23.3,4.9
"岩手",2013,26.4,3.3
"宮城",2013,19.8,4.2
"秋田",2013,26.5,4
"山形",2013,24.6,3.1
"福島",2013,21.7,3.6
"茨城",2013,21.2,3.9
"栃木",2013,22.6,3.7
"群馬",2013,25.2,3.5
"埼玉",2013,20.8,4.1
"千葉",2013,19.9,3.7
"東京",2013,20.2,4.2
"神奈川",2013,17.9,3.9
"新潟",2013,26.1,3.5
"富山",2013,22.6,2.8
"石川",2013,17.7,3.2
"福井",2013,17.9,2.6
"山梨",2013,23.4,3.1
"長野",2013,20.1,3.5
"岐阜",2013,19.1,3
"静岡",2013,20.7,3.2
"愛知",2013,19.1,3.2
"三重",2013,19.3,2.9
"滋賀",2013,21,3
"京都",2013,19.3,3.9
"大阪",2013,20.8,4.8
"兵庫",2013,20.5,4.1
"奈良",2013,18.3,3.8
"和歌山",2013,21.3,3.1
"鳥取",2013,21.1,3.4
"島根",2013,25.4,2.8
"岡山",2013,17.8,3.7
"広島",2013,19.8,3.6
"山口",2013,20,3.4
"徳島",2013,22.1,3.5
"香川",2013,18.8,3.2
"愛媛",2013,22.6,3.4
"高知",2013,21.6,3.3
"福岡",2013,21.1,5
"佐賀",2013,18.1,3.4
"長崎",2013,20.1,4.2
"熊本",2013,20.4,4.2
"大分",2013,21.8,3.8
"宮崎",2013,22.9,3.7
"鹿児島",2013,21.6,4.3
"沖縄",2013,20.8,5.7
"北海道",2014,20.1,4.1
"青森",2014,20.5,4.2
"岩手",2014,26.6,2.9
"宮城",2014,19.6,3.6
"秋田",2014,26,3.7
"山形",2014,21.6,2.9
"福島",2014,21.8,3.1
"茨城",2014,19.7,3.3
"栃木",2014,20.1,3.2
"群馬",2014,20.4,3
"埼玉",2014,18.7,3.5
"千葉",2014,19.9,3.2
"東京",2014,18.7,3.8
"神奈川",2014,17.3,3.4
"新潟",2014,23.5,3.3
"富山",2014,22.8,2.6
"石川",2014,15.7,2.9
"福井",2014,17.1,2.4
"山梨",2014,22.2,2.9
"長野",2014,20.9,2.9
"岐阜",2014,20.3,2.5
"静岡",2014,18.5,2.8
"愛知",2014,17.7,2.7
"三重",2014,17.3,2.3
"滋賀",2014,18.2,2.8
"京都",2014,17.5,3.6
"大阪",2014,20,4.5
"兵庫",2014,19.8,3.9
"奈良",2014,17.1,3.5
"和歌山",2014,17.4,2.7
"鳥取",2014,19.1,2.7
"島根",2014,20.4,2.5
"岡山",2014,17,3.2
"広島",2014,19.4,3.2
"山口",2014,19.1,3
"徳島",2014,19.9,3.3
"香川",2014,17.4,3
"愛媛",2014,20.5,3.2
"高知",2014,21.6,3.3
"福岡",2014,19.7,4.5
"佐賀",2014,17,3.4
"長崎",2014,19.4,3.6
"熊本",2014,18.6,3.9
"大分",2014,17.6,3.3
